timestamp,cpu_percent,memory_percent,process_count,network_connections,established_connections,disk_read_mb,disk_write_mb,unique_process_names
2026-08-30T12:02:44.865664,10.6,38.9,344,83,9,0.0,1.02,286
2026-08-30T12:02:48.916244,9.7,39.0,344,84,9,0.0,0.285,286
2026-08-30T12:02:52.943397,12.3,40.0,344,85,9,0.012,1.57,286
2026-08-30T12:02:56.971968,13.5,40.0,344,83,9,0.078,0.0,286
2026-08-30T12:03:01.005452,16.1,39.6,344,84,9,0.0,0.117,286
2026-08-30T12:03:05.041141,11.0,39.4,344,85,9,0.0,0.223,286
2026-08-30T12:03:09.073323,13.4,39.1,344,83,9,0.012,2.801,286
2026-08-30T12:03:13.107923,12.3,39.1,344,85,9,0.0,0.25,286
2026-08-30T12:03:17.141596,11.8,39.1,344,83,9,0.0,0.273,286
2026-08-30T12:03:21.175701,13.4,39.1,344,82,9,0.0,2.242,286
2026-08-30T12:03:25.208553,10.9,39.0,344,83,9,0.0,0.812,286
2026-08-30T12:03:29.249279,10.5,39.0,344,79,9,0.0,0.164,286
2026-08-30T12:03:33.282993,11.8,39.0,344,80,9,0.0,0.117,286
2026-08-30T12:03:37.339343,10.7,39.0,344,81,9,0.0,0.266,286
2026-08-30T12:03:41.372667,10.0,39.0,344,80,9,0.0,0.434,286
2026-08-30T12:03:45.402093,12.5,39.1,344,83,11,0.0,3.789,286
2026-08-30T12:03:49.446776,8.0,39.1,344,82,11,0.0,0.258,286
2026-08-30T12:03:53.481512,10.7,39.1,344,82,10,0.0,1.5,286
2026-08-30T12:03:57.521049,9.7,39.0,344,84,10,0.0,0.371,286
2026-08-30T12:04:01.555563,11.7,39.1,344,82,10,0.0,0.094,286
2026-08-30T12:04:05.585257,11.2,39.0,344,84,10,0.0,1.402,286
2026-08-30T12:04:09.640506,10.0,39.1,344,83,10,0.0,1.688,286
2026-08-30T12:04:13.672727,11.6,39.1,344,83,10,0.0,0.168,286
2026-08-30T12:04:17.703683,8.9,39.0,344,84,10,0.0,0.117,286
2026-08-30T12:04:21.737533,11.7,39.1,343,85,10,0.0,0.105,285
2026-08-30T12:04:25.771049,10.6,39.1,343,84,10,0.0,0.945,285
2026-08-30T12:04:29.801751,8.0,39.1,343,84,10,0.0,0.152,285
2026-08-30T12:04:33.836753,12.0,39.2,343,84,10,0.0,0.203,285
2026-08-30T12:04:37.871187,8.5,39.2,343,84,10,0.008,0.035,285
2026-08-30T12:04:41.905463,10.3,39.1,343,84,10,0.0,0.281,285
2026-08-30T12:04:45.949991,10.6,39.1,343,82,9,0.0,0.562,285
2026-08-30T12:04:49.988945,10.2,39.1,343,83,9,0.0,0.473,285
2026-08-30T12:04:54.024108,10.9,39.2,343,82,9,0.012,2.66,285
2026-08-30T12:04:58.049863,11.7,39.6,346,82,9,0.07,0.18,285
2026-08-30T12:05:02.085474,12.0,39.6,346,84,9,0.0,0.0,285
2026-08-30T12:05:06.119575,10.5,39.5,346,84,9,0.0,0.59,285
2026-08-30T12:05:10.144416,11.2,39.1,346,83,9,0.0,0.441,285
2026-08-30T12:05:14.177837,11.9,39.1,346,82,9,0.0,0.172,285
2026-08-30T12:05:18.209552,9.6,39.1,346,82,9,0.0,0.16,285
